Date,^IRX
2012-07-16,3.3715888723140353e-06
2012-07-17,3.768058780329042e-06
2012-07-18,3.3715888723140353e-06
2012-07-19,3.173338974260531e-06
2012-07-20,3.3715888723140353e-06
2012-07-23,3.569828905813921e-06
2012-07-24,3.768058780329042e-06
2012-07-25,3.768058780329042e-06
2012-07-26,3.9662790878303156e-06
2012-07-27,3.9662790878303156e-06
2012-07-30,3.569828905813921e-06
2012-07-31,3.9662790878303156e-06
2012-08-01,3.569828905813921e-06
2012-08-02,3.3715888723140353e-06
2012-08-03,2.9750795063065993e-06
2012-08-06,2.9750795063065993e-06
2012-08-07,3.9662790878303156e-06
2012-08-08,4.164489238123181e-06
2012-08-09,4.362689823400601e-06
2012-08-10,3.768058780329042e-06
2012-08-13,3.768058780329042e-06
2012-08-14,4.164489238123181e-06
2012-08-15,3.173338974260531e-06
2012-08-16,2.9750795063065993e-06
2012-08-17,3.173338974260531e-06
2012-08-20,3.3715888723140353e-06
2012-08-21,4.164489238123181e-06
2012-08-22,3.9662790878303156e-06
2012-08-23,3.768058780329042e-06
2012-08-24,3.569828905813921e-06
2012-08-27,3.768058780329042e-06
2012-08-28,3.9662790878303156e-06
2012-08-29,3.768058780329042e-06
2012-08-30,3.569828905813921e-06
2012-08-31,3.3715888723140353e-06
2012-09-04,3.569828905813921e-06
2012-09-05,3.9662790878303156e-06
2012-09-06,3.9662790878303156e-06
2012-09-07,3.9662790878303156e-06
2012-09-10,3.768058780329042e-06
2012-09-11,3.9662790878303156e-06
2012-09-12,3.768058780329042e-06
2012-09-13,3.768058780329042e-06
2012-09-14,3.768058780329042e-06
2012-09-17,3.569828905813921e-06
2012-09-18,3.9662790878303156e-06
2012-09-19,4.164489238123181e-06
2012-09-20,4.164489238123181e-06
2012-09-21,3.9662790878303156e-06
2012-09-24,3.768058780329042e-06
2012-09-25,4.164489238123181e-06
2012-09-26,3.9662790878303156e-06
2012-09-27,3.3715888723140353e-06
2012-09-28,3.569828905813921e-06
2012-10-01,3.173338974260531e-06
2012-10-02,3.569828905813921e-06
2012-10-03,3.3715888723140353e-06
2012-10-04,3.768058780329042e-06
2012-10-05,3.9662790878303156e-06
2012-10-08,3.768058780329042e-06
2012-10-09,3.768058780329042e-06
2012-10-10,3.768058780329042e-06
2012-10-11,3.768058780329042e-06
2012-10-12,3.9662790878303156e-06
2012-10-15,3.768058780329042e-06
2012-10-16,3.9662790878303156e-06
2012-10-17,4.164489238123181e-06
2012-10-18,3.768058780329042e-06
2012-10-19,3.569828905813921e-06
2012-10-22,3.569828905813921e-06
2012-10-23,3.9662790878303156e-06
2012-10-24,4.164489238123181e-06
2012-10-25,4.362689823400601e-06
2012-10-26,4.164489238123181e-06
2012-10-31,4.164489238123181e-06
2012-11-01,3.569828905813921e-06
2012-11-02,3.569828905813921e-06
2012-11-05,3.569828905813921e-06
2012-11-06,3.9662790878303156e-06
2012-11-07,3.569828905813921e-06
2012-11-08,3.3715888723140353e-06
2012-11-09,3.569828905813921e-06
2012-11-12,3.450885892153366e-06
2012-11-13,3.3715888723140353e-06
2012-11-14,3.768058780329042e-06
2012-11-15,2.9750795063065993e-06
2012-11-16,2.9750795063065993e-06
2012-11-19,2.9750795063065993e-06
2012-11-20,3.3715888723140353e-06
2012-11-21,3.569828905813921e-06
2012-11-23,3.569828905813921e-06
2012-11-26,3.569828905813921e-06
2012-11-27,3.768058780329042e-06
2012-11-28,3.6491219801426666e-06
2012-11-29,3.173338974260531e-06
2012-11-30,2.9750795063065993e-06
2012-12-03,3.0543844182773228e-06
2012-12-04,3.569828905813921e-06
2012-12-05,3.569828905813921e-06
2012-12-06,3.569828905813921e-06
2012-12-07,3.173338974260531e-06
2012-12-10,2.9750795063065993e-06
2012-12-11,2.9750795063065993e-06
2012-12-12,2.3802411603934814e-06
2012-12-13,2.06295791183031e-06
2012-12-14,9.919400114632992e-07
2012-12-17,8.72920231653751e-07
2012-12-18,2.1819420727986483e-06
2012-12-19,1.7853142850743353e-06
2012-12-20,1.9836331146549924e-06
2012-12-21,1.9836331146549924e-06
2012-12-24,1.9836331146549924e-06
2012-12-26,2.1819420727986483e-06
2012-12-27,2.7768098762592786e-06
2012-12-28,3.968056268011111e-07
2012-12-31,1.3886468601675972e-06
2013-01-02,2.1819420727986483e-06
2013-01-03,2.578530378549715e-06
2013-01-04,2.578530378549715e-06
2013-01-07,2.3009226801651295e-06
2013-01-08,2.3802411603934814e-06
2013-01-09,2.1819420727986483e-06
2013-01-10,2.1819420727986483e-06
2013-01-11,2.499215993712056e-06
2013-01-14,2.3802411603934814e-06
2013-01-15,3.173338974260531e-06
2013-01-16,2.85611873485081e-06
2013-01-17,2.7768098762592786e-06
2013-01-18,2.7768098762592786e-06
2013-01-22,2.3802411603934814e-06
2013-01-23,2.7768098762592786e-06
2013-01-24,2.9750795063065993e-06
2013-01-25,2.7768098762592786e-06
2013-01-28,2.3802411603934814e-06
2013-01-29,2.499215993712056e-06
2013-01-30,2.3802411603934814e-06
2013-01-31,2.578530378549715e-06
2013-02-01,2.3802411603934814e-06
2013-02-04,2.1819420727986483e-06
2013-02-05,2.7768098762592786e-06
2013-02-06,2.578530378549715e-06
2013-02-07,2.578530378549715e-06
2013-02-08,2.578530378549715e-06
2013-02-11,2.578530378549715e-06
2013-02-12,3.2922899788623283e-06
2013-02-13,3.3715888723140353e-06
2013-02-14,3.768058780329042e-06
2013-02-15,3.768058780329042e-06
2013-02-19,3.9662790878303156e-06
2013-02-20,4.560880549009383e-06
2013-02-21,4.7590611207404265e-06
2013-02-22,4.7590611207404265e-06
2013-02-25,4.560880549009383e-06
2013-02-26,4.362689823400601e-06
2013-02-27,3.9662790878303156e-06
2013-02-28,3.9662790878303156e-06
2013-03-01,3.9662790878303156e-06
2013-03-04,3.3715888723140353e-06
2013-03-05,3.3715888723140353e-06
2013-03-06,3.6491219801426666e-06
2013-03-07,3.569828905813921e-06
2013-03-08,3.450885892153366e-06
2013-03-11,3.450885892153366e-06
2013-03-12,3.6491219801426666e-06
2013-03-13,3.3715888723140353e-06
2013-03-14,3.569828905813921e-06
2013-03-15,3.2922899788623283e-06
2013-03-18,2.85611873485081e-06
2013-03-19,2.7768098762592786e-06
2013-03-20,2.499215993712056e-06
2013-03-21,2.3802411603934814e-06
2013-03-22,2.578530378549715e-06
2013-03-25,2.3009226801651295e-06
2013-03-26,2.85611873485081e-06
2013-03-27,3.173338974260531e-06
2013-03-28,2.578530378549715e-06
2013-04-01,2.578530378549715e-06
2013-04-02,2.697499438486517e-06
2013-04-03,2.1819420727986483e-06
2013-04-04,2.578530378549715e-06
2013-04-05,2.3802411603934814e-06
2013-04-08,2.1819420727986483e-06
2013-04-09,2.499215993712056e-06
2013-04-10,2.578530378549715e-06
2013-04-11,2.499215993712056e-06
2013-04-12,2.1819420727986483e-06
2013-04-15,2.1819420727986483e-06
2013-04-16,2.06295791183031e-06
2013-04-17,1.9836331146549924e-06
2013-04-18,1.9836331146549924e-06
2013-04-19,1.7853142850743353e-06
2013-04-22,1.7853142850743353e-06
2013-04-23,1.7853142850743353e-06
2013-04-24,1.9043067378543554e-06
2013-04-25,1.9836331146549924e-06
2013-04-26,1.7853142850743353e-06
2013-04-29,1.7853142850743353e-06
2013-04-30,1.7853142850743353e-06
2013-05-01,1.9836331146549924e-06
2013-05-02,1.9836331146549924e-06
2013-05-03,1.7853142850743353e-06
2013-05-06,1.1902983365619235e-06
2013-05-07,1.3886468601675972e-06
2013-05-08,1.3886468601675972e-06
2013-05-09,1.3886468601675972e-06
2013-05-10,1.3886468601675972e-06
2013-05-13,1.3886468601675972e-06
2013-05-14,1.5869854355088364e-06
2013-05-15,1.467983504754855e-06
2013-05-16,9.919400114632992e-07
2013-05-17,1.1902983365619235e-06
2013-05-20,1.3886468601675972e-06
2013-05-21,1.5869854355088364e-06
2013-05-22,1.3886468601675972e-06
2013-05-23,1.5869854355088364e-06
2013-05-24,1.467983504754855e-06
2013-05-28,1.3886468601675972e-06
2013-05-29,1.5869854355088364e-06
2013-05-30,9.919400114632992e-07
2013-05-31,1.1902983365619235e-06
2013-06-03,1.1902983365619235e-06
2013-06-04,1.5869854355088364e-06
2013-06-05,1.7853142850743353e-06
2013-06-06,1.7853142850743353e-06
2013-06-07,1.5869854355088364e-06
2013-06-10,1.5869854355088364e-06
2013-06-11,1.7853142850743353e-06
2013-06-12,1.5869854355088364e-06
2013-06-13,1.7059839594324444e-06
2013-06-14,1.5869854355088364e-06
2013-06-17,1.5869854355088364e-06
2013-06-18,1.7853142850743353e-06
2013-06-19,1.5869854355088364e-06
2013-06-20,1.5869854355088364e-06
2013-06-21,1.5869854355088364e-06
2013-06-24,1.5869854355088364e-06
2013-06-25,2.3009226801651295e-06
2013-06-26,2.1819420727986483e-06
2013-06-27,1.7853142850743353e-06
2013-06-28,1.1902983365619235e-06
2013-07-01,3.968056268011111e-07
2013-07-02,1.3886468601675972e-06
2013-07-03,1.3886468601675972e-06
2013-07-05,1.3886468601675972e-06
2013-07-08,1.3886468601675972e-06
2013-07-09,1.3886468601675972e-06
2013-07-10,1.1902983365619235e-06
2013-07-11,1.1902983365619235e-06
2013-07-12,1.1902983365619235e-06
2013-07-15,7.935717363238837e-07
2013-07-16,1.3886468601675972e-06
2013-07-17,9.919400114632992e-07
2013-07-18,8.72920231653751e-07
2013-07-19,7.935717363238837e-07
2013-07-22,1.9840775355994822e-07
2013-07-23,7.935717363238837e-07
2013-07-24,7.935717363238837e-07
2013-07-25,5.95193620611667e-07
2013-07-26,5.95193620611667e-07
2013-07-29,7.935717363238837e-07
2013-07-30,1.1902983365619235e-06
2013-07-31,1.1902983365619235e-06
2013-08-01,1.3886468601675972e-06
2013-08-02,1.1902983365619235e-06
2013-08-05,1.3886468601675972e-06
2013-08-06,1.5869854355088364e-06
2013-08-07,1.5869854355088364e-06
2013-08-08,1.7853142850743353e-06
2013-08-09,1.9043067378543554e-06
2013-08-12,1.9043067378543554e-06
2013-08-13,2.06295791183031e-06
2013-08-14,1.9836331146549924e-06
2013-08-15,1.7853142850743353e-06
2013-08-16,1.5869854355088364e-06
2013-08-19,1.5869854355088364e-06
2013-08-20,1.7853142850743353e-06
2013-08-21,1.3093086357329753e-06
2013-08-22,7.935717363238837e-07
2013-08-23,8.72920231653751e-07
2013-08-26,5.158396307880508e-07
2013-08-27,1.3093086357329753e-06
2013-08-28,1.1902983365619235e-06
2013-08-29,7.935717363238837e-07
2013-08-30,7.935717363238837e-07
2013-09-03,5.95193620611667e-07
2013-09-04,5.95193620611667e-07
2013-09-05,5.95193620611667e-07
2013-09-06,5.95193620611667e-07
2013-09-09,3.968056268011111e-07
2013-09-10,5.95193620611667e-07
2013-09-11,5.95193620611667e-07
2013-09-12,3.968056268011111e-07
2013-09-13,3.968056268011111e-07
2013-09-16,1.1904584140687291e-07
2013-09-17,1.9840775355994822e-07
2013-09-18,1.9840775355994822e-07
2013-09-19,1.9840775355994822e-07
2013-09-20,1.9840775355994822e-07
2013-09-23,1.9840775355994822e-07
2013-09-24,5.95193620611667e-07
2013-09-25,5.95193620611667e-07
2013-09-26,1.1904584140687291e-07
2013-09-27,1.9840775355994822e-07
2013-09-30,1.9840775355994822e-07
2013-10-01,5.158396307880508e-07
2013-10-02,3.968056268011111e-07
2013-10-03,7.935717363238837e-07
2013-10-04,7.142216607025631e-07
2013-10-07,7.142216607025631e-07
2013-10-08,1.7853142850743353e-06
2013-10-09,1.467983504754855e-06
2013-10-10,1.5869854355088364e-06
2013-10-11,2.499215993712056e-06
2013-10-14,2.3009226801651295e-06
2013-10-15,3.6491219801426666e-06
2013-10-16,3.6491219801426666e-06
2013-10-17,1.467983504754855e-06
2013-10-18,9.919400114632992e-07
2013-10-21,9.919400114632992e-07
2013-10-22,1.3093086357329753e-06
2013-10-23,1.1902983365619235e-06
2013-10-24,1.1902983365619235e-06
2013-10-25,1.1902983365619235e-06
2013-10-28,7.935717363238837e-07
2013-10-29,1.5869854355088364e-06
2013-10-30,1.3886468601675972e-06
2013-10-31,1.3093086357329753e-06
2013-11-01,1.3093086357329753e-06
2013-11-04,1.3093086357329753e-06
2013-11-05,1.7853142850743353e-06
2013-11-06,1.7853142850743353e-06
2013-11-07,1.9043067378543554e-06
2013-11-08,2.06295791183031e-06
2013-11-11,2.06295791183031e-06
2013-11-12,2.3009226801651295e-06
2013-11-13,2.7768098762592786e-06
2013-11-14,2.697499438486517e-06
2013-11-15,2.7768098762592786e-06
2013-11-18,2.578530378549715e-06
2013-11-19,3.173338974260531e-06
2013-11-20,3.0543844182773228e-06
2013-11-21,2.7768098762592786e-06
2013-11-22,2.578530378549715e-06
2013-11-25,2.3802411603934814e-06
2013-11-26,2.697499438486517e-06
2013-11-27,2.499215993712056e-06
2013-11-29,2.1819420727986483e-06
2013-12-02,1.9836331146549924e-06
2013-12-03,1.3886468601675972e-06
2013-12-04,2.06295791183031e-06
2013-12-05,1.9043067378543554e-06
2013-12-06,2.06295791183031e-06
2013-12-09,2.06295791183031e-06
2013-12-10,2.7768098762592786e-06
2013-12-11,2.697499438486517e-06
2013-12-12,2.499215993712056e-06
2013-12-13,2.3802411603934814e-06
2013-12-16,2.3009226801651295e-06
2013-12-17,2.499215993712056e-06
2013-12-18,2.3802411603934814e-06
2013-12-19,2.3009226801651295e-06
2013-12-20,2.1819420727986483e-06
2013-12-23,2.3009226801651295e-06
2013-12-24,2.697499438486517e-06
2013-12-26,2.3802411603934814e-06
2013-12-27,2.3009226801651295e-06
2013-12-30,2.1819420727986483e-06
2013-12-31,2.499215993712056e-06
2014-01-02,2.3009226801651295e-06
2014-01-03,2.3009226801651295e-06
2014-01-06,1.7853142850743353e-06
2014-01-07,1.7059839594324444e-06
2014-01-08,1.5869854355088364e-06
2014-01-09,1.3093086357329753e-06
2014-01-10,1.3093086357329753e-06
2014-01-13,1.1902983365619235e-06
2014-01-14,1.3093086357329753e-06
2014-01-15,1.3886468601675972e-06
2014-01-16,1.1902983365619235e-06
2014-01-17,1.1902983365619235e-06
2014-01-21,1.1109562358946334e-06
2014-01-22,1.1902983365619235e-06
2014-01-23,1.1902983365619235e-06
2014-01-24,1.3093086357329753e-06
2014-01-27,1.9043067378543554e-06
2014-01-28,1.7853142850743353e-06
2014-01-29,1.5869854355088364e-06
2014-01-30,5.95193620611667e-07
2014-01-31,3.968056268011111e-07
2014-02-03,7.935717363238837e-07
2014-02-04,2.1819420727986483e-06
2014-02-05,2.1819420727986483e-06
2014-02-06,2.3802411603934814e-06
2014-02-07,2.85611873485081e-06
2014-02-10,2.1819420727986483e-06
2014-02-11,1.7853142850743353e-06
2014-02-12,1.7059839594324444e-06
2014-02-13,9.919400114632992e-07
2014-02-14,3.968056268011111e-07
2014-02-18,5.95193620611667e-07
2014-02-19,1.7853142850743353e-06
2014-02-20,1.5869854355088364e-06
2014-02-21,1.3886468601675972e-06
2014-02-24,1.3093086357329753e-06
2014-02-25,1.5869854355088364e-06
2014-02-26,1.5869854355088364e-06
2014-02-27,1.3886468601675972e-06
2014-02-28,1.7059839594324444e-06
2014-03-03,1.7059839594324444e-06
2014-03-04,1.9043067378543554e-06
2014-03-05,1.9836331146549924e-06
2014-03-06,1.7853142850743353e-06
2014-03-07,1.7853142850743353e-06
2014-03-10,1.5869854355088364e-06
2014-03-11,1.7853142850743353e-06
2014-03-12,1.5869854355088364e-06
2014-03-13,1.5869854355088364e-06
2014-03-14,1.5869854355088364e-06
2014-03-17,1.7059839594324444e-06
2014-03-18,1.9836331146549924e-06
2014-03-19,1.9836331146549924e-06
2014-03-20,2.06295791183031e-06
2014-03-21,1.7853142850743353e-06
2014-03-24,1.7059839594324444e-06
2014-03-25,1.7853142850743353e-06
2014-03-26,1.467983504754855e-06
2014-03-27,1.3093086357329753e-06
2014-03-28,1.3093086357329753e-06
2014-03-31,1.1109562358946334e-06
2014-04-01,1.1902983365619235e-06
2014-04-02,7.142216607025631e-07
2014-04-03,5.95193620611667e-07
2014-04-04,7.935717363238837e-07
2014-04-07,7.935717363238837e-07
2014-04-08,9.919400114632992e-07
2014-04-09,1.1109562358946334e-06
2014-04-10,1.1109562358946334e-06
2014-04-11,1.1902983365619235e-06
2014-04-14,1.1902983365619235e-06
2014-04-15,1.1902983365619235e-06
2014-04-16,9.919400114632992e-07
2014-04-17,9.919400114632992e-07
2014-04-21,9.919400114632992e-07
2014-04-22,9.919400114632992e-07
2014-04-23,5.95193620611667e-07
2014-04-24,2.7776810318513867e-07
2014-04-25,2.7776810318513867e-07
2014-04-28,1.1904584140687291e-07
2014-04-29,5.95193620611667e-07
2014-04-30,7.935717363238837e-07
2014-05-01,7.142216607025631e-07
2014-05-02,5.95193620611667e-07
2014-05-05,5.95193620611667e-07
2014-05-06,7.935717363238837e-07
2014-05-07,7.935717363238837e-07
2014-05-08,8.72920231653751e-07
2014-05-09,8.72920231653751e-07
2014-05-12,7.935717363238837e-07
2014-05-13,7.935717363238837e-07
2014-05-14,7.935717363238837e-07
2014-05-15,7.142216607025631e-07
2014-05-16,5.95193620611667e-07
2014-05-19,7.142216607025631e-07
